area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000203,222598,15078,4166,9150,1762
E05000204,185777,17681,5491,10544,1646
E05000205,59465,15794,3228,10408,2158
E05000206,397276,15690,4590,9569,1531
E05000207,304699,15278,4296,9488,1494
E05000208,67060,15456,3512,9705,2239
E05000209,111396,14121,2814,8998,2309
E05000210,435137,15112,3428,9277,2407
E05000211,226456,15119,4340,9081,1698
E05000212,180701,19317,5647,11972,1698
E05000213,57622,14020,2912,8947,2161
E05000214,46042,16935,4962,10375,1598
E05000215,40901,13160,2425,8650,2085
E05000216,59834,15191,3795,9825,1571
E05000217,23705,13524,2959,8206,2359
E05000218,53777,13049,2729,8053,2267
E05000219,21703,12846,2535,8209,2102
E05000220,60811,11481,2776,7166,1539
E05000221,183168,19842,5081,13237,1524
E05000222,208181,19531,3850,14233,1448
E05000223,82956,14274,3294,9205,1775
E05000224,55487,14340,3592,8738,2010
E05000225,64713,16001,3130,11545,1326
E05000226,107225,18100,4518,11829,1753
E05000227,119699,14006,3169,9036,1801
E05000228,99994,22737,6690,14998,1049
E05000229,248453,17971,5112,11686,1173
E05000230,222695,21554,5393,14863,1298
E05000250,233467,11405,2066,8353,986
E05000251,144823,14206,2870,10104,1232
E05000252,283531,12013,1709,8813,1491
E05000253,51981,9566,2044,6701,821
E05000254,48616,10868,1773,7898,1197
E05000255,136324,11134,1694,8382,1058
E05000256,156063,11557,2104,8132,1321
E05000257,85154,10851,2018,7818,1015
E05000258,133195,11562,1647,9045,870
E05000259,47215,7486,1567,4661,1258
E05000260,28745,11056,2325,7500,1231
E05000261,93030,10445,2069,6917,1459
E05000262,67383,13760,2870,9581,1309
E05000263,102210,11993,2103,8873,1017
E05000264,46954,10970,2137,7942,891
E05000265,122764,13311,3402,8630,1279
E05000266,180834,11766,2932,7418,1416
E05000267,150580,14737,3098,10208,1431
E05000268,152697,15184,3625,10255,1304
E05000269,75244,12631,2239,9014,1378
E05000270,206941,12530,3006,8037,1487
E05000271,42353,14149,2312,10756,1081
E05000272,80222,10825,2052,7263,1510
E05000273,102414,13062,2616,9260,1186
E05000274,87930,10809,2224,7010,1575
E05000275,47020,15029,3100,10666,1263
E05000276,124149,15654,4493,9891,1270
E05000277,90466,15797,3021,11455,1321
E05000278,110079,17453,5314,10834,1305
E05000279,135990,11954,2028,8906,1020
E05000280,316372,15524,3537,10626,1361
E05000281,190058,18157,4625,12212,1320
E05000282,73548,13530,2953,9191,1386
E05000283,93109,13694,3876,8630,1188
E05000284,74113,15766,3247,11109,1410
E05000285,133837,11427,2783,7020,1624
E05000286,63263,13232,2820,7904,2508
E05000287,52449,12424,2969,7997,1458
E05000288,262716,13074,2880,8780,1414
E05000289,91309,12741,3251,7991,1499
E05000290,90594,11711,2677,6874,2160
E05000291,106953,10825,2231,6230,2364
E05000292,107123,10229,2159,6192,1878
E05000293,184913,11569,2711,7396,1462
E05000294,39862,11503,2468,7482,1553
E05000295,137837,11176,2285,7077,1814
E05000296,259021,12986,3189,8354,1443
E05000297,215308,10416,2107,6155,2154
E05000298,126260,10525,2597,5996,1932
E05000299,62480,12427,2949,7910,1568
E05000300,111521,11160,2638,6905,1617
E05000301,105758,13413,3624,8405,1384
E05000302,53197,11750,2929,7400,1421
E05000303,46427,11996,2458,6729,2809
E05000304,151260,11543,3041,7191,1311
E05000305,122580,10691,2420,6737,1534
E05000306,16818,16798,4161,10483,2154
E05000307,9113,12777,2538,7158,3081
E05000308,15994,12814,2755,7614,2445
E05000309,8585,12095,2329,6960,2806
E05000310,15370,15781,4264,9611,1906
E05000311,12357,12505,2334,7526,2645
E05000312,17508,13779,2883,8455,2441
E05000313,15032,13497,3290,7858,2349
E05000314,13687,13914,3665,8026,2223
E05000315,12807,13406,2651,8294,2461
E05000316,15065,13400,2974,7934,2492
E05000317,11986,13146,2552,7519,3075
E05000318,14226,12992,2865,7782,2345
E05000319,17536,17513,3722,11343,2448
E05000320,13320,13696,2483,8239,2974
E05000321,12876,14282,3504,8384,2394
E05000322,14837,13986,2810,8702,2474
E05000323,8020,12994,2499,7314,3181
E05000324,8192,14386,4047,8948,1391
E05000325,11475,17405,5094,10719,1592
E05000326,9288,15736,2781,11308,1647
E05000327,101897,11879,2678,7154,2047
E05000328,8607,13147,3403,8004,1740
E05000329,202668,12844,2652,7499,2693
E05000330,12316,7513,1655,4497,1361
E05000331,5784,13862,3293,9264,1305
E05000332,11036,13332,3466,8169,1697
E05000333,19640,10521,2219,6054,2248
E05000334,79432,11861,2691,7256,1914
E05000335,110996,10737,2003,6334,2400
E05000336,307869,11959,2625,7194,2140
E05000337,5598,15953,4564,9918,1471
E05000338,52796,12889,3013,8194,1682
E05000339,5670,15856,4451,9832,1573
E05000340,12727,11817,2510,7309,1998
E05000341,9327,17598,2829,13180,1589
E05000342,8667,16622,4490,10365,1767
E05000343,70698,11391,2325,6980,2086
E05000344,11745,14874,4340,9328,1206
E05000345,7315,13874,3515,8972,1387
E05000346,5938,13428,3345,8459,1624
E05000347,38023,15085,3150,10329,1606
E05000348,28805,11362,2404,7395,1563
E05000349,15916,11503,2449,7500,1554
E05000350,5675,13475,3344,8748,1383
E05000351,7755,12058,2761,7597,1700
E05000352,6277,16178,4473,10505,1200
E05000353,4934,12642,3408,7750,1484
E05000354,4346,12113,2869,7756,1488
E05000355,5810,12741,2995,8270,1476
E05000356,7963,12795,3012,8330,1453
E05000357,5690,12722,3385,7957,1380
E05000358,9429,17392,3993,11750,1649
E05000359,5826,15562,4079,10155,1328
E05000360,8590,11541,2533,7416,1592
E05000361,6394,14315,3053,9653,1609
E05000362,11639,12312,3010,7928,1374
E05000363,17265,13441,2874,8878,1689
E05000364,17964,13935,3152,9249,1534
E05000365,21374,11812,2060,8112,1640
E05000366,46495,13253,2178,9729,1346
E05000367,66640,17082,2697,13192,1193
E05000368,91272,15264,2560,11344,1360
E05000369,84159,13099,2338,9458,1303
