area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000143,22703,16118,3793,10911,1414
E05000144,39569,14375,2835,9835,1705
E05000145,55245,13448,1945,10271,1232
E05000170,40055,16084,3629,10835,1620
E05000171,57811,14214,3399,8766,2049
E05000172,14890,14006,3469,8668,1869
E05000173,142490,14326,2515,10002,1809
E05000174,139520,13633,2350,9479,1804
E05000175,201221,20803,4379,14678,1746
E05000176,34284,14646,3493,9579,1574
E05000177,30977,17961,4917,10954,2090
E05000178,29373,14656,3584,9195,1877
E05000179,93940,15932,3571,10191,2170
E05000180,39006,13923,3653,8514,1756
E05000181,15120,13449,3159,8631,1659
E05000182,68699,13225,2896,8710,1619
E05000183,40086,14796,3477,9437,1882
E05000184,37323,15290,4053,9497,1740
E05000185,24228,15603,4591,9393,1619
E05000186,13154,13847,3238,8882,1727
E05000187,37730,15884,3687,10284,1913
E05000188,63025,14944,3474,9717,1753
E05000189,8924,14288,3631,9045,1612
E05000190,8318,16070,4414,10281,1375
E05000191,41665,13622,2809,9239,1574
E05000192,97015,13083,2829,8692,1562
E05000193,115236,15317,2980,10648,1689
E05000194,135551,14616,2916,8980,2720
E05000195,246531,13980,3464,8519,1997
E05000196,150013,13991,2880,8350,2761
E05000197,146689,19454,5931,11861,1662
E05000198,338351,16753,4902,10085,1766
E05000199,291517,17961,5540,10899,1522
E05000200,117371,13240,2751,7961,2528
E05000201,132035,17288,4787,10826,1675
E05000202,206774,13472,2699,8116,2657
E05000203,206714,15078,4166,9150,1762
E05000204,170491,17681,5491,10544,1646
E05000205,54459,15794,3228,10408,2158
E05000206,384558,15690,4590,9569,1531
E05000207,290556,15278,4296,9488,1494
E05000208,60331,15456,3512,9705,2239
E05000209,108672,14121,2814,8998,2309
E05000210,410038,15112,3428,9277,2407
E05000211,215096,15119,4340,9081,1698
E05000212,177806,19317,5647,11972,1698
E05000213,54200,14020,2912,8947,2161
E05000214,39484,16935,4962,10375,1598
E05000215,34445,13160,2425,8650,2085
E05000216,49858,15191,3795,9825,1571
E05000217,20914,13524,2959,8206,2359
E05000218,48232,13049,2729,8053,2267
E05000219,19193,12846,2535,8209,2102
E05000220,52984,11481,2776,7166,1539
E05000221,174900,19842,5081,13237,1524
E05000222,193790,19531,3850,14233,1448
E05000223,75825,14274,3294,9205,1775
E05000224,53520,14340,3592,8738,2010
E05000225,59129,16001,3130,11545,1326
E05000226,109509,18100,4518,11829,1753
E05000227,111073,14006,3169,9036,1801
E05000228,93307,22737,6690,14998,1049
E05000229,243808,17971,5112,11686,1173
E05000230,212371,21554,5393,14863,1298
