area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000278,115801,17453,5314,10834,1305
E05000279,134974,11954,2028,8906,1020
E05000280,315781,15524,3537,10626,1361
E05000281,192414,18157,4625,12212,1320
E05000282,74507,13530,2953,9191,1386
E05000283,96567,13694,3876,8630,1188
E05000284,77806,15766,3247,11109,1410
E05000285,133555,11427,2783,7020,1624
E05000286,65620,13232,2820,7904,2508
E05000287,53741,12424,2969,7997,1458
E05000288,283348,13074,2880,8780,1414
E05000289,93961,12741,3251,7991,1499
E05000290,94850,11711,2677,6874,2160
E05000291,105158,10825,2231,6230,2364
E05000292,109230,10229,2159,6192,1878
E05000293,184333,11569,2711,7396,1462
E05000294,40275,11503,2468,7482,1553
E05000295,137292,11176,2285,7077,1814
E05000296,249559,12986,3189,8354,1443
E05000297,226202,10416,2107,6155,2154
E05000298,132553,10525,2597,5996,1932
E05000299,64094,12427,2949,7910,1568
E05000300,114738,11160,2638,6905,1617
E05000301,110723,13413,3624,8405,1384
E05000302,56685,11750,2929,7400,1421
E05000303,46776,11996,2458,6729,2809
E05000304,137423,11543,3041,7191,1311
E05000305,124112,10691,2420,6737,1534
E05000306,14008,16798,4161,10483,2154
E05000307,8577,12777,2538,7158,3081
E05000308,13430,12814,2755,7614,2445
E05000309,8325,12095,2329,6960,2806
E05000310,11227,15781,4264,9611,1906
E05000311,11488,12505,2334,7526,2645
E05000312,14439,13779,2883,8455,2441
E05000313,14608,13497,3290,7858,2349
E05000314,10539,13914,3665,8026,2223
E05000315,11452,13406,2651,8294,2461
E05000316,13879,13400,2974,7934,2492
E05000317,9155,13146,2552,7519,3075
E05000318,14836,12992,2865,7782,2345
E05000319,12877,17513,3722,11343,2448
E05000320,9723,13696,2483,8239,2974
E05000321,13914,14282,3504,8384,2394
E05000322,13199,13986,2810,8702,2474
E05000323,7033,12994,2499,7314,3181
E05000324,8442,14386,4047,8948,1391
E05000325,8626,17405,5094,10719,1592
E05000326,9249,15736,2781,11308,1647
E05000327,96755,11879,2678,7154,2047
E05000328,8345,13147,3403,8004,1740
E05000329,216035,12844,2652,7499,2693
E05000330,9157,7513,1655,4497,1361
E05000331,5675,13862,3293,9264,1305
E05000332,10444,13332,3466,8169,1697
E05000333,17084,10521,2219,6054,2248
E05000334,77745,11861,2691,7256,1914
E05000335,115238,10737,2003,6334,2400
E05000336,312670,11959,2625,7194,2140
E05000337,5119,15953,4564,9918,1471
E05000338,51893,12889,3013,8194,1682
E05000339,5295,15856,4451,9832,1573
E05000340,10183,11817,2510,7309,1998
E05000341,8351,17598,2829,13180,1589
E05000342,8773,16622,4490,10365,1767
E05000343,70658,11391,2325,6980,2086
E05000344,9546,14874,4340,9328,1206
E05000345,6358,13874,3515,8972,1387
E05000346,5633,13428,3345,8459,1624
E05000347,34983,15085,3150,10329,1606
E05000348,24720,11362,2404,7395,1563
E05000349,13350,11503,2449,7500,1554
E05000350,5015,13475,3344,8748,1383
E05000351,4884,12058,2761,7597,1700
E05000352,5899,16178,4473,10505,1200
E05000353,4140,12642,3408,7750,1484
E05000354,3822,12113,2869,7756,1488
E05000355,5378,12741,2995,8270,1476
E05000356,7312,12795,3012,8330,1453
E05000357,6028,12722,3385,7957,1380
E05000358,8682,17392,3993,11750,1649
E05000359,6494,15562,4079,10155,1328
E05000360,6662,11541,2533,7416,1592
E05000361,5655,14315,3053,9653,1609
E05000362,9226,12312,3010,7928,1374
E05000363,13651,13441,2874,8878,1689
E05000364,15153,13935,3152,9249,1534
E05000365,19887,11812,2060,8112,1640
E05000366,41133,13253,2178,9729,1346
E05000367,61991,17082,2697,13192,1193
E05000368,77602,15264,2560,11344,1360
E05000369,83063,13099,2338,9458,1303
E05000370,36178,12502,1735,9732,1035
E05000371,76208,16310,3264,11726,1320
E05000372,67679,12950,2528,9136,1286
E05000373,83656,17514,3281,13045,1188
E05000374,70878,12432,2756,8479,1197
E05000375,74041,17284,2934,13050,1300
E05000376,31408,12629,2094,9153,1382
E05000377,54748,14143,2787,10291,1065
E05000378,20438,13107,2295,9531,1281
E05000379,97687,12904,1971,9716,1217
E05000380,110195,12988,2058,9661,1269
E05000381,134260,14046,2633,10173,1240
E05000400,3814,9639,2289,5757,1593
E05000401,3512,9708,1874,6334,1500
E05000402,4621,10726,2528,6716,1482
E05000403,4076,14568,3692,9707,1169
E05000404,2264,9175,2142,5598,1435
E05000405,3309,10493,2465,6487,1541
E05000406,3984,11534,2558,7266,1710
E05000407,4642,10192,2512,6236,1444
E05000408,2887,11834,1916,8748,1170
E05000409,3378,10572,2387,7188,997
E05000410,5963,9749,2168,5777,1804
E05000411,5315,9181,2008,5425,1748
E05000412,3103,12856,1690,10183,983
E05000413,3591,11159,2263,7358,1538
E05000414,3092,10294,2391,6521,1382
E05000415,2735,9929,2651,5838,1440
E05000416,119363,11621,1387,9225,1009
E05000417,155730,16749,2737,12946,1066
E05000418,111975,13085,2208,9834,1043
E05000419,34851,14563,2286,11164,1113
E05000420,185123,17096,3843,12120,1133
