area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000110,10584,14907,3335,8593,2979
E05000111,12205,15888,3425,9099,3364
E05000112,45566,16266,3605,10637,2024
E05000113,19706,16839,2756,11202,2881
E05000114,13103,16594,4177,9698,2719
E05000115,12880,17520,4693,10318,2509
E05000116,76274,13488,2714,9633,1141
E05000117,3861,5256,1042,2885,1329
E05000118,10122,14992,3248,8217,3527
E05000119,10357,16237,3717,9293,3227
E05000120,16360,16501,3656,9827,3018
E05000121,16033,10820,2776,6596,1448
E05000122,11052,15994,3444,9108,3442
E05000123,49434,18593,4264,12359,1970
E05000124,8337,13762,2866,7866,3030
E05000125,21858,15693,3456,9788,2449
E05000126,9299,10288,2255,5979,2054
E05000127,10452,15230,3365,8629,3236
E05000128,43275,14392,2842,9672,1878
E05000129,19776,11693,1027,9431,1235
E05000130,12344,13405,2418,9325,1662
E05000131,27681,13356,2427,9642,1287
E05000132,87821,13005,2345,9260,1400
E05000133,58264,13636,3011,8708,1917
E05000134,21304,12673,2839,8253,1581
E05000135,55485,12538,2589,7844,2105
E05000136,16923,14000,3086,9198,1716
E05000137,49604,12041,2586,7383,2072
E05000138,39006,14442,2097,10885,1460
E05000139,19496,14847,2712,10673,1462
E05000140,43565,13473,2726,9065,1682
E05000141,58438,12235,2110,9088,1037
E05000142,16210,14160,2854,9886,1420
E05000143,23037,16118,3793,10911,1414
E05000144,40200,14375,2835,9835,1705
E05000145,59127,13448,1945,10271,1232
E05000170,38857,16084,3629,10835,1620
E05000171,55684,14214,3399,8766,2049
E05000172,16234,14006,3469,8668,1869
E05000173,141853,14326,2515,10002,1809
E05000174,136247,13633,2350,9479,1804
E05000175,217200,20803,4379,14678,1746
E05000176,34676,14646,3493,9579,1574
E05000177,31846,17961,4917,10954,2090
E05000178,30517,14656,3584,9195,1877
E05000179,91320,15932,3571,10191,2170
E05000180,39419,13923,3653,8514,1756
E05000181,15048,13449,3159,8631,1659
E05000182,66811,13225,2896,8710,1619
E05000183,41735,14796,3477,9437,1882
E05000184,36986,15290,4053,9497,1740
E05000185,22704,15603,4591,9393,1619
E05000186,13808,13847,3238,8882,1727
E05000187,39302,15884,3687,10284,1913
E05000188,64250,14944,3474,9717,1753
E05000189,10151,14288,3631,9045,1612
E05000190,8985,16070,4414,10281,1375
E05000191,41500,13622,2809,9239,1574
E05000192,96174,13083,2829,8692,1562
E05000193,118320,15317,2980,10648,1689
E05000194,140367,14616,2916,8980,2720
E05000195,246927,13980,3464,8519,1997
E05000196,152247,13991,2880,8350,2761
E05000197,155491,19454,5931,11861,1662
E05000198,360176,16753,4902,10085,1766
E05000199,314762,17961,5540,10899,1522
E05000200,117610,13240,2751,7961,2528
E05000201,139316,17288,4787,10826,1675
E05000202,209788,13472,2699,8116,2657
