area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000132,90791,13005,2345,9260,1400
E05000133,59109,13636,3011,8708,1917
E05000134,20339,12673,2839,8253,1581
E05000135,55331,12538,2589,7844,2105
E05000136,16763,14000,3086,9198,1716
E05000137,49392,12041,2586,7383,2072
E05000138,38208,14442,2097,10885,1460
E05000139,19291,14847,2712,10673,1462
E05000140,40924,13473,2726,9065,1682
E05000141,51891,12235,2110,9088,1037
E05000142,14912,14160,2854,9886,1420
E05000143,24822,16118,3793,10911,1414
E05000144,37528,14375,2835,9835,1705
E05000145,57347,13448,1945,10271,1232
E05000170,40474,16084,3629,10835,1620
E05000171,57471,14214,3399,8766,2049
E05000172,14742,14006,3469,8668,1869
E05000173,143563,14326,2515,10002,1809
E05000174,137743,13633,2350,9479,1804
E05000175,202795,20803,4379,14678,1746
E05000176,33962,14646,3493,9579,1574
E05000177,32154,17961,4917,10954,2090
E05000178,31290,14656,3584,9195,1877
E05000179,91699,15932,3571,10191,2170
E05000180,40108,13923,3653,8514,1756
E05000181,17599,13449,3159,8631,1659
E05000182,70997,13225,2896,8710,1619
E05000183,37847,14796,3477,9437,1882
E05000184,37097,15290,4053,9497,1740
E05000185,22635,15603,4591,9393,1619
E05000186,13907,13847,3238,8882,1727
E05000187,38089,15884,3687,10284,1913
E05000188,63280,14944,3474,9717,1753
E05000189,8560,14288,3631,9045,1612
E05000190,9381,16070,4414,10281,1375
E05000191,44213,13622,2809,9239,1574
E05000192,96780,13083,2829,8692,1562
E05000193,121697,15317,2980,10648,1689
E05000194,147672,14616,2916,8980,2720
E05000195,260751,13980,3464,8519,1997
E05000196,156045,13991,2880,8350,2761
E05000197,156424,19454,5931,11861,1662
E05000198,351617,16753,4902,10085,1766
E05000199,301638,17961,5540,10899,1522
E05000200,124985,13240,2751,7961,2528
E05000201,142361,17288,4787,10826,1675
E05000202,221471,13472,2699,8116,2657
E05000203,225617,15078,4166,9150,1762
E05000204,187089,17681,5491,10544,1646
E05000205,56696,15794,3228,10408,2158
E05000206,401462,15690,4590,9569,1531
E05000207,307549,15278,4296,9488,1494
E05000208,61653,15456,3512,9705,2239
E05000209,112628,14121,2814,8998,2309
E05000210,444483,15112,3428,9277,2407
E05000211,219562,15119,4340,9081,1698
E05000212,189013,19317,5647,11972,1698
E05000213,58764,14020,2912,8947,2161
E05000214,47968,16935,4962,10375,1598
E05000215,38173,13160,2425,8650,2085
E05000216,52765,15191,3795,9825,1571
E05000217,21791,13524,2959,8206,2359
E05000218,51341,13049,2729,8053,2267
E05000219,21554,12846,2535,8209,2102
E05000220,57705,11481,2776,7166,1539
E05000221,181723,19842,5081,13237,1524
E05000222,197238,19531,3850,14233,1448
E05000223,81441,14274,3294,9205,1775
E05000224,56868,14340,3592,8738,2010
E05000225,61609,16001,3130,11545,1326
E05000226,115780,18100,4518,11829,1753
E05000227,117615,14006,3169,9036,1801
E05000228,98312,22737,6690,14998,1049
E05000229,258729,17971,5112,11686,1173
E05000230,228288,21554,5393,14863,1298
E05000250,217305,11405,2066,8353,986
E05000251,140658,14206,2870,10104,1232
E05000252,252932,12013,1709,8813,1491
E05000253,57045,9566,2044,6701,821
E05000254,43929,10868,1773,7898,1197
E05000255,131932,11134,1694,8382,1058
E05000256,146051,11557,2104,8132,1321
E05000257,77504,10851,2018,7818,1015
E05000258,122607,11562,1647,9045,870
E05000259,44138,7486,1567,4661,1258
E05000260,23840,11056,2325,7500,1231
E05000261,87291,10445,2069,6917,1459
E05000262,61535,13760,2870,9581,1309
E05000263,96964,11993,2103,8873,1017
E05000264,44042,10970,2137,7942,891
E05000265,121116,13311,3402,8630,1279
E05000266,177692,11766,2932,7418,1416
E05000267,157419,14737,3098,10208,1431
E05000268,148455,15184,3625,10255,1304
E05000269,74099,12631,2239,9014,1378
E05000270,206510,12530,3006,8037,1487
E05000271,44088,14149,2312,10756,1081
E05000272,76554,10825,2052,7263,1510
E05000273,100208,13062,2616,9260,1186
E05000274,87970,10809,2224,7010,1575
E05000275,48727,15029,3100,10666,1263
E05000276,117892,15654,4493,9891,1270
E05000277,92479,15797,3021,11455,1321
E05000278,110373,17453,5314,10834,1305
E05000279,135944,11954,2028,8906,1020
E05000280,312121,15524,3537,10626,1361
E05000281,185829,18157,4625,12212,1320
E05000282,70851,13530,2953,9191,1386
E05000283,93816,13694,3876,8630,1188
E05000284,71355,15766,3247,11109,1410
E05000285,138328,11427,2783,7020,1624
E05000286,66780,13232,2820,7904,2508
E05000287,54306,12424,2969,7997,1458
E05000288,271461,13074,2880,8780,1414
E05000289,92180,12741,3251,7991,1499
E05000290,84850,11711,2677,6874,2160
E05000291,107899,10825,2231,6230,2364
E05000292,110024,10229,2159,6192,1878
E05000293,182173,11569,2711,7396,1462
E05000294,42715,11503,2468,7482,1553
E05000295,136419,11176,2285,7077,1814
E05000296,244823,12986,3189,8354,1443
E05000297,222974,10416,2107,6155,2154
E05000298,129152,10525,2597,5996,1932
E05000299,62604,12427,2949,7910,1568
E05000300,116256,11160,2638,6905,1617
E05000301,111183,13413,3624,8405,1384
E05000302,56517,11750,2929,7400,1421
E05000303,46463,11996,2458,6729,2809
E05000304,130207,11543,3041,7191,1311
E05000305,119232,10691,2420,6737,1534
E05000306,17371,16798,4161,10483,2154
E05000307,9541,12777,2538,7158,3081
E05000308,13622,12814,2755,7614,2445
E05000309,9368,12095,2329,6960,2806
E05000310,14228,15781,4264,9611,1906
E05000311,11532,12505,2334,7526,2645
E05000312,17577,13779,2883,8455,2441
E05000313,14875,13497,3290,7858,2349
E05000314,12363,13914,3665,8026,2223
E05000315,11810,13406,2651,8294,2461
E05000316,13765,13400,2974,7934,2492
E05000317,11570,13146,2552,7519,3075
E05000318,14355,12992,2865,7782,2345
E05000319,15755,17513,3722,11343,2448
E05000320,12253,13696,2483,8239,2974
E05000321,14243,14282,3504,8384,2394
E05000322,15217,13986,2810,8702,2474
E05000323,7846,12994,2499,7314,3181
E05000324,7458,14386,4047,8948,1391
E05000325,9162,17405,5094,10719,1592
E05000326,8854,15736,2781,11308,1647
E05000327,96828,11879,2678,7154,2047
E05000328,8099,13147,3403,8004,1740
E05000329,208994,12844,2652,7499,2693
E05000330,10946,7513,1655,4497,1361
E05000331,5401,13862,3293,9264,1305
E05000332,11404,13332,3466,8169,1697
E05000333,19551,10521,2219,6054,2248
E05000334,84164,11861,2691,7256,1914
E05000335,116878,10737,2003,6334,2400
E05000336,321483,11959,2625,7194,2140
E05000337,6049,15953,4564,9918,1471
E05000338,56551,12889,3013,8194,1682
E05000339,5494,15856,4451,9832,1573
E05000340,11763,11817,2510,7309,1998
E05000341,9201,17598,2829,13180,1589
E05000342,9009,16622,4490,10365,1767
E05000343,71281,11391,2325,6980,2086
E05000344,10072,14874,4340,9328,1206
E05000345,7021,13874,3515,8972,1387
E05000346,6881,13428,3345,8459,1624
E05000347,34954,15085,3150,10329,1606
E05000348,25742,11362,2404,7395,1563
E05000349,13561,11503,2449,7500,1554
E05000350,5575,13475,3344,8748,1383
E05000351,5633,12058,2761,7597,1700
E05000352,7697,16178,4473,10505,1200
E05000353,3918,12642,3408,7750,1484
E05000354,5172,12113,2869,7756,1488
E05000355,6223,12741,2995,8270,1476
E05000356,8472,12795,3012,8330,1453
E05000357,6225,12722,3385,7957,1380
E05000358,8879,17392,3993,11750,1649
E05000359,7078,15562,4079,10155,1328
E05000360,7506,11541,2533,7416,1592
E05000361,6314,14315,3053,9653,1609
E05000362,10979,12312,3010,7928,1374
E05000363,15655,13441,2874,8878,1689
E05000364,16540,13935,3152,9249,1534
E05000365,20616,11812,2060,8112,1640
E05000366,43033,13253,2178,9729,1346
E05000367,60625,17082,2697,13192,1193
E05000368,83381,15264,2560,11344,1360
E05000369,88654,13099,2338,9458,1303
E05000370,31833,12502,1735,9732,1035
E05000371,80357,16310,3264,11726,1320
E05000372,75043,12950,2528,9136,1286
E05000373,91945,17514,3281,13045,1188
E05000374,68766,12432,2756,8479,1197
E05000375,75843,17284,2934,13050,1300
E05000376,31371,12629,2094,9153,1382
E05000377,58200,14143,2787,10291,1065
E05000378,22156,13107,2295,9531,1281
E05000379,98291,12904,1971,9716,1217
E05000380,111910,12988,2058,9661,1269
E05000381,132136,14046,2633,10173,1240
E05000400,4425,9639,2289,5757,1593
E05000401,4290,9708,1874,6334,1500
E05000402,5801,10726,2528,6716,1482
E05000403,5428,14568,3692,9707,1169
E05000404,3647,9175,2142,5598,1435
E05000405,4242,10493,2465,6487,1541
E05000406,4754,11534,2558,7266,1710
E05000407,5819,10192,2512,6236,1444
E05000408,4343,11834,1916,8748,1170
E05000409,3699,10572,2387,7188,997
E05000410,5595,9749,2168,5777,1804
E05000411,6054,9181,2008,5425,1748
E05000412,4768,12856,1690,10183,983
E05000413,4632,11159,2263,7358,1538
E05000414,4380,10294,2391,6521,1382
E05000415,3274,9929,2651,5838,1440
E05000416,119212,11621,1387,9225,1009
E05000417,152028,16749,2737,12946,1066
E05000418,114157,13085,2208,9834,1043
E05000419,37567,14563,2286,11164,1113
E05000420,179130,17096,3843,12120,1133
E05000421,149377,14447,2113,11373,961
E05000422,81588,14164,3666,9368,1130
E05000423,85431,16089,3262,11592,1235
E05000424,113421,15943,4163,10336,1444
E05000425,75594,17442,3140,13163,1139
E05000426,205108,15760,2264,12327,1169
E05000427,422115,15599,2818,11304,1477
E05000428,169626,16987,3337,12371,1279
E05000429,80740,15138,2904,11074,1160
E05000430,99634,15522,3033,11230,1259
E05000431,78508,15568,3384,10480,1704
E05000432,151750,16221,3255,11594,1372
E05000433,96926,13054,2854,9138,1062
E05000434,90106,14147,3306,9514,1327
E05000435,150582,16199,3656,11430,1113
E05000436,150700,15342,2802,11442,1098
E05000437,107036,15962,4437,9874,1651
E05000438,200569,14721,2930,10192,1599
E05000439,170632,18390,3218,14001,1171
E05000440,178878,15819,3817,10162,1840
E05000441,94483,15629,3432,10752,1445
E05000442,59569,15664,4237,9553,1874
E05000443,404528,18529,4550,12949,1030
E05000444,59681,15978,3837,10599,1542
E05000445,88148,15046,3515,9620,1911
E05000446,165111,14775,2872,10522,1381
E05000447,55919,16098,3428,10913,1757
E05000448,256420,19735,4075,14125,1535
E05000449,131710,16746,3693,12052,1001
E05000450,76028,16383,3699,11113,1571
E05000451,240629,15490,3730,10415,1345
E05000452,73787,16858,3873,11076,1909
E05000453,59885,17583,3657,12645,1281
E05000454,110554,15593,4332,9556,1705
E05000455,54304,10770,2037,7823,910
E05000456,24145,9370,1915,5889,1566
E05000457,46431,10910,1806,8082,1022
E05000458,16478,12235,3267,7612,1356
E05000459,44889,9512,2043,6513,956
E05000460,15762,11809,3081,7628,1100
E05000461,21700,10093,2046,6946,1101
E05000462,24268,9115,1601,6153,1361
E05000463,18365,10982,2578,7549,855
E05000464,42163,10726,2636,6923,1167
E05000465,9493,9136,2002,5556,1578
E05000466,31585,9710,2111,6028,1571
E05000467,26683,11039,2932,6885,1222
E05000468,13970,10088,2414,6386,1288
E05000469,16222,9962,2179,6370,1413
E05000470,13325,10856,2687,6806,1363
