area_id,num_transactions,population,age_0_17,age_18_64,age_65+
E05000229,229958,17971,5112,11686,1173
E05000230,209998,21554,5393,14863,1298
E05000250,210409,11405,2066,8353,986
E05000251,133277,14206,2870,10104,1232
E05000252,256466,12013,1709,8813,1491
E05000253,52006,9566,2044,6701,821
E05000254,43645,10868,1773,7898,1197
E05000255,125252,11134,1694,8382,1058
E05000256,140296,11557,2104,8132,1321
E05000257,76823,10851,2018,7818,1015
E05000258,123667,11562,1647,9045,870
E05000259,44324,7486,1567,4661,1258
E05000260,24248,11056,2325,7500,1231
E05000261,84466,10445,2069,6917,1459
E05000262,60081,13760,2870,9581,1309
E05000263,93961,11993,2103,8873,1017
E05000264,43399,10970,2137,7942,891
E05000265,117089,13311,3402,8630,1279
E05000266,156530,11766,2932,7418,1416
E05000267,139484,14737,3098,10208,1431
E05000268,141798,15184,3625,10255,1304
E05000269,72074,12631,2239,9014,1378
E05000270,184956,12530,3006,8037,1487
E05000271,39785,14149,2312,10756,1081
E05000272,69260,10825,2052,7263,1510
E05000273,94677,13062,2616,9260,1186
E05000274,77381,10809,2224,7010,1575
E05000275,44754,15029,3100,10666,1263
E05000276,115536,15654,4493,9891,1270
E05000277,81936,15797,3021,11455,1321
E05000278,108644,17453,5314,10834,1305
E05000279,122366,11954,2028,8906,1020
E05000280,296461,15524,3537,10626,1361
E05000281,176809,18157,4625,12212,1320
E05000282,70408,13530,2953,9191,1386
E05000283,86917,13694,3876,8630,1188
E05000284,69853,15766,3247,11109,1410
E05000285,126244,11427,2783,7020,1624
E05000286,58088,13232,2820,7904,2508
E05000287,48732,12424,2969,7997,1458
E05000288,247153,13074,2880,8780,1414
E05000289,84875,12741,3251,7991,1499
E05000290,86198,11711,2677,6874,2160
E05000291,99504,10825,2231,6230,2364
E05000292,99680,10229,2159,6192,1878
E05000293,172318,11569,2711,7396,1462
E05000294,36808,11503,2468,7482,1553
E05000295,128925,11176,2285,7077,1814
E05000296,239806,12986,3189,8354,1443
